facility_id,measure_name,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_discharges,number_of_readmissions,start_date,end_date
040016,READM-30-HIP-KNEE-HRRP,0.9265,5.0063,5.4035,,,2020-07-01,2023-06-30
040016,READM-30-COPD-HRRP,1.0117,19.0314,18.811,75.0,15.0,2020-07-01,2023-06-30
040016,READM-30-AMI-HRRP,1.0919,15.0398,13.7745,65.0,14.0,2020-07-01,2023-06-30
040016,READM-30-PN-HRRP,1.0281,18.2352,17.7372,324.0,61.0,2020-07-01,2023-06-30
040016,READM-30-HF-HRRP,1.0034,21.2884,21.2161,276.0,59.0,2020-07-01,2023-06-30
040017,READM-30-HIP-KNEE-HRRP,1.0014,4.4065,4.4005,,,2020-07-01,2023-06-30
040017,READM-30-HF-HRRP,0.9357,17.8901,19.1204,,,2020-07-01,2023-06-30
040017,READM-30-PN-HRRP,0.9885,13.4869,13.6438,228.0,30.0,2020-07-01,2023-06-30
040017,READM-30-COPD-HRRP,0.9592,15.7114,16.3798,,,2020-07-01,2023-06-30
040019,READM-30-COPD-HRRP,1.0202,13.7756,13.503,,,2020-07-01,2023-06-30
040019,READM-30-PN-HRRP,1.0111,14.0484,13.8947,,,2020-07-01,2023-06-30
040020,READM-30-PN-HRRP,0.9556,15.4957,16.2158,478.0,71.0,2020-07-01,2023-06-30
040020,READM-30-HF-HRRP,1.1021,21.6144,19.6122,412.0,96.0,2020-07-01,2023-06-30
040020,READM-30-AMI-HRRP,1.0367,14.4546,13.9435,237.0,36.0,2020-07-01,2023-06-30
040020,READM-30-COPD-HRRP,1.0563,19.8939,18.8336,400.0,83.0,2020-07-01,2023-06-30
040020,READM-30-CABG-HRRP,1.0753,11.0652,10.2903,123.0,16.0,2020-07-01,2023-06-30
040022,READM-30-HF-HRRP,0.9856,19.8555,20.1466,257.0,50.0,2020-07-01,2023-06-30
040022,READM-30-COPD-HRRP,0.9612,18.7558,19.5137,125.0,21.0,2020-07-01,2023-06-30
040022,READM-30-AMI-HRRP,0.9982,13.5267,13.5514,252.0,34.0,2020-07-01,2023-06-30
040022,READM-30-PN-HRRP,0.8058,13.0469,16.1909,278.0,22.0,2020-07-01,2023-06-30
040026,READM-30-HIP-KNEE-HRRP,0.8569,4.1954,4.8958,,,2020-07-01,2023-06-30
040026,READM-30-COPD-HRRP,1.0658,19.0391,17.863,121.0,27.0,2020-07-01,2023-06-30
040026,READM-30-HF-HRRP,1.0642,20.2768,19.054,659.0,138.0,2020-07-01,2023-06-30
040026,READM-30-PN-HRRP,1.0032,15.5491,15.5,526.0,82.0,2020-07-01,2023-06-30
040026,READM-30-AMI-HRRP,0.9883,11.9329,12.0739,256.0,30.0,2020-07-01,2023-06-30
040026,READM-30-CABG-HRRP,1.0253,10.7797,10.5138,,,2020-07-01,2023-06-30
040027,READM-30-HIP-KNEE-HRRP,1.0476,4.2408,4.0483,,,2020-07-01,2023-06-30
